OID_,NAME,MonumentsToVisit_INFO,WEBSITE_LINK,external_link,ENTITY_ID,SMRS,COUNTY,LOCALITY,MONUMENT_CLASS,ITM_E,ITM_N,LATITUDE,LONGITUDE
11,"Drombeg Stone Circle, County Cork","Drombeg stone circle is dramatically situated on a rocky terrace with sweeping views over farmland to the Atlantic Ocean. Drombeg is perhaps the finest example of a distinctive series of stone circles found in Cork and Kerry. Stone circles were places of ritual and ceremony in the later Bronze Age period (c. 1500 BC - 600 BC) and were usually associated with human burial. Also at the site is a fulacht fiadh or prehistoric cooking site.  Stone circle - At Drombeg the seventeen stones are symmetrically arranged so that one of the stones (the axial stone) is set on its side and placed directly opposite a pair of tall stones (the portal stones) that form the entrance to the circle. The stones reduce in height from the portals to the axial stone which has two shallow cup marks carved on its upper surface. In common with many stone circles in the region, the axis of the circle (i.e., the line extending through the entrance across the top of the axial stone) is orientated north-east / south-west. At the winter solstice (21st December) the sun sets at a point on the horizon aligned with this axis. This marks of the shortest day of the year in Ireland. Excavations undertaken in 1957 revealed a central pit that contained a pottery vessel covering the cremated remains of a youth. Radiocarbon dating has placed the burial in the period c. 1100-800 BC.  Fulacht fiadh - Very close to the stone circle are the remains of two hut sites and a fulacht fiadh (ancient cooking place). The fulacht fiadh consists of a stone-lined trough with a nearby hearth and well. Water in the trough would have been heated by rolling in stones heated by fire in the hearth. Experiments have shown that in about 18 minutes, 70 gallons (318 litres) of cold water could be brought to the boil in this way. Meat was then cooked in the water, which remained sufficiently hot for almost 3 hours. Alternative suggested uses for fulachtaí fia are ritual bathing, as well as industrial activities such as dyeing and even brewing.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCO143-051002-,https://www.discoverireland.ie/cork/drombeg-stone-circle,CO17415,CO143-051002-,CORK,DROMBEG (Carbery E. (W.D.) By.),Stone circle - multiple-stone,524637,535229,51.564568999999999,-9.087035000000000
12,"Cloughoughter Castle, County Cavan","Clogh Oughter Castle stands on a tiny island in Lough Oughter, Co. Cavan, in the ancienty territory of Bréifne. It was built around the year 1220  by the lords of Meath, as part of Angl-Norman conquest of this region.  The stone castle was probably on the site of a royal crannóg belonging to the O’Reilly clan who ruled the Gaelic territory of Bréifne. .  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCV020-060----,https://www.discoveringireland.com/clough-oughter-castle/,CV00797,CV020-060----,CAVAN,Lough Oughter,Castle - Anglo-Norman masonry castle,635726,807858,54.018694000000004,-7.454850000000000
13,"Drumlane, County Cavan","The ancient church of Drumlane overlooks Derrybrick Lough, one of the many lakes of Cavan. Drumlane was an important early church site associated with St Aidan or Maedhóg, who is also associated with Ferns, Co. Wexford. During the 12th century it became a house of Augustinian canons. The surviving structures consist of a round tower and a medieval church. The round tower dates from the late 11th or early 12th century. It survives to about 11.5m in height and is built in two different forms of masonry. The base was very well-built using squared blocks, whereas the rest of the tower has been constructed with rubble masonry. This may simply reflect a cost-cutting exercise on behalf of the builders after reviewing the cost of the base. The earlier church at the site was entirely replaced by a large medieval building. The west doorway is 13th century in date, but was reconstructed in the 15th century when a carved head of a bishop was also added. There is another carved head over the south doorway, and three more over the exterior of the east window. Drumlane was a burial place of the local Gaelic lords, the O’Reillys, in late medieval times, and the remains of tomb niches in the church date from this period. A decorative metalwork shrine, called the Breac Maedhóg, now in the National Museum of Ireland, was kept here in medieval times and housed relics of a number of saints including Maedhóg.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCV014-028009-,https://heritageireland.ie/articles/drumlane-abbey-and-round-tower/,CV02101,CV014-028009-,CAVAN,DRUMLANE (Lower Loughtee By.),Graveyard,634128,812222,54.058014000000000,-7.478743000000000
14,"St. Audoens Church, Dublin City","Sited in the heart of the walled medieval city, St Audoen's Church is the only remaining medieval parish church in Dublin. It is dedicated to St Ouen the 7th century bishop of Rouen and patron saint of Normandy. The Guild Chapel of St Anne houses an award-winning exhibition on the importance of St Audoen's Church in the life of the medieval city. Visitors to St Audoen's will see the part of the church still in use by the Church of Ireland as a parish church. They can also view the 17th century memorials to the Sparke and Duff families and the 15th century effigial tomb to Baron Portlester and his wife. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDU018-020075-,https://heritageireland.ie/visit/places-to-visit/st-audoens-church/,DU01330,DU018-020075-,DUBLIN,Dublin South City,Church,714919,734000,53.343732000000003,-6.274177000000000
15,"Browneshill Megalithic Tomb, County Carlow","Known as the ‘Browneshill dolmen’, because it is sited on a hill on which sits the former estate house of the Browne family, the remains of this megalithic tomb are well-preserved and the chamber faces down slope to the east. It consists of a massive granite roofstone resting on two upright portal stones with a ‘doorstone’ between them. A fourth stone stands beside them and may indicate the remains of some form of facade. The west end of the roofstone rests on a prostrate stone which could be interpreted as a collapsed backstone. There is no visible trace of a surrounding mound around the structure and the interior ground level of the chamber area is slightly lower than the surrounding field surface. The roofstone is exceptionally large measuring just over 6 metres long by almost 4.50 metres wide and 2 metres thick: it is estimated to weigh at least 100 tons. The monument dates to between 4000 and 3000 BC and was built by the earliest farming communities to inhabit the island of Ireland. Please note that many of these monuments may be on private land and may not be publicly accessible.  ",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCW007-010----,https://www.discoverireland.ie/carlow/brownshill-dolmen,CW00146,CW007-010----,CARLOW,KERNANSTOWN,Megalithic tomb - portal tomb,675384,676874,52.837530000000001,-6.881140000000000
16,"Lusk, County Dublin","Lusk Heritage Centre comprises of a 9th century round tower, a medieval belfry and a 19th century church. They form a unit, although they were built over a period of almost a thousand years. The belfry now houses an exhibition on Lusk and medieval churches of North County Dublin and also the magnificent 16th century effigy tomb of Sir Christopher Barnewall and his wife Marion Sharl.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.   ",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDU008-010004-,https://www.archaeology.ie/monument-of-the-month/archive/barnewall-effigial-tomb,DU00273,DU008-010004-,DUBLIN,LUSK,Church,721521,754467,53.526096000000003,-6.167188000000000
17,"Saint Mullin’s Ecclesiastical Site, County Carlow","A beautiful monastery nestled between the waters of the Barrow and the Aughavaud was founded here in the 7th-century by Moling Luachra, known today as St. Mullin. This monastery was famous for a pilgrimage that was held near the end of July.  The feastday of St Mullin falls on the 17 th  of June when a pattern was held at the monastery.  In the year 1348 during the months of September & October thousands of people flocked to St. Mullin’s to ‘wade in the water’ to protect them from the plague that had arrived on the shores of Ireland. .  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CCW026-011005-,https://www.discoverireland.ie/carlow/st-mullins-ecclesiastical-village,CW01290,CW026-011005-,CARLOW,ST. MULLIN'S,Church,672834,638020,52.488723999999998,-6.927561000000000
18,"St. Mary's Abbey Abbey, Dublin City","St. Mary's Abbey is one of Dublin's best kept secrets. It was once the wealthiest Cistercian Abbey in Ireland. Today only two rooms remain - the Chapter House and the Slype. The Abbey, founded in 1139, played a large role in the affairs of the state until its dissolution by Henry VIII in 1539. It was in the Chapter House that ""Silken"" Thomas Fitzgerald started his unsuccessful rebellion in 1534 and it is in this context that the Abbey is mentioned in the ""Wandering Rocks"" chapter of Ulysses by James Joyce.  Today it contains a fascinating exhibition put together by the Office of Public Works along with the Dublin Archaeological Society and the History of Art Department of Trinity College, Dublin.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDU018-020048-,https://www.buildingsofireland.ie/buildings-search/building/50060660/saint-marys-abbey-chapter-house-meetinghouse-lane-dublin-7-dublin,DU01302,DU018-020048-,DUBLIN,Dublin North City,Religious house - Cistercian monks,715228,734436,53.347580999999998,-6.269380000000000
19,"Rathfarnham Castle, County Dublin","The original castle at Rathfarnham dates back to the Elizabethan period and was built for Archbishop Adam Loftus, an ambitious Yorkshire clergyman, who came to Ireland as chaplain to the Lord Deputy and quickly rose to become Archbishop of Dublin, Lord Chancellor of Ireland and was closely involved in the establishment of Trinity College. The castle with its four flanker towers is an excellent example of the fortified house in Ireland. In the late 18th century, the house was remodelled on a splendid scale employing some of the finest architects of the day including Sir William Chambers and James 'Athenian' Stuart. The collection includes family portraits by Angelica Kauffman (1741-1807), Sir Peter Lely (1618-1680), and Hugh Douglas Hamilton (1740-1808).  Rathfarnham Castle welcomes you to the Berkeley Costumes and Toy Collection at Rathfarnham Castle.  Fashion and playthings offer a fascinating insight into social history. Like vernacular architecture, furniture and furnishings, clothes and toys are the physical evidence of lives lived and those lives have something to tell us. The installation by the OPW of the Berkeley Costume and Toy Collection in the magnificent setting of Rathfarnham Castle brings the historic interiors to life and enables this unique collection to be enjoyed by a greater audience.  The Berkeley Costume and Toy Collection is an exquisite collection of 18th and 19th century toys, dolls and costumes. The collection began as a private passion in Co.Wexford over twenty years ago by Irish artist and collector Countess Ann Griffin Bernstorff. The collection was gathered together over many decades from her own family trunks and from auctions and donations. Displayed in the elegant rooms of Rathfarnham Castle and covering a period of some 80 years from 1740 - 1820, the exhibits range from rare and delicate artefacts to simple and robust playthings, and everyday garments of the past many of which were once owned by Irish families.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDU022-014----,https://heritageireland.ie/visit/places-to-visit/rathfarnham-castle/,DU01770,DU022-014----,DUBLIN,RATHFARNHAM,House - fortified house,714410,728904,53.298065000000001,-6.283655000000000
20,"Monkstown Castle, County Dublin","Today Monkstown Castle is situated in the suburbs of Dublin. In medieval times the castle here was the centre of a large farm owned by the Cistercian monks of St. Mary’s Abbey in the city of Dublin. When St Mary’s Abbey was dissolved in 1540 the castle at Monkstown was granted to John Travers who came to Ireland from Cornwall. Travers was Master of the Ordnance and a Groom of the Chamber to the King.  During the Cromwellian period the castle was granted to General Edmund Ludlow, Cromwell’s Master of the Horse in Ireland, and one of the signatories of the death warrant of Charles I. We know from early paintings that this was a very large castle with a number of buildings, though many of these have long since disappeared. Today the castle consists of the original gatehouse with a high vault overhead and a large three-storey tower that formed one side of a large hall that has disappeared.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDU023-014001-,https://www.archaeology.ie/monument-of-the-month/archive/monkstown-castle-co-dublin,DU01899,DU023-014001-,DUBLIN,MONKSTOWN CASTLEFARM,Castle - tower house,723304,728105,53.288893999999999,-6.150614000000000
21,"Donegal Castle, County Donegal","Built by the O'Donnell chieftain in the 15th century, beside the River Eske, the Castle has extensive 17th century additions by Sir Basil Brooke. The Castle is furnished throughout and includes Persian rugs and French tapestries. Information panels chronicle the history of the Castle owners from the O'Donnell chieftains to the Brooke family. Limited access for people with disabilities to the ground floor. Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDG093-013001-,https://heritageireland.ie/visit/places-to-visit/donegal-castle/,DG02239,DG093-013001-,DONEGAL,DONEGAL,Castle - tower house,592868,878552,54.655095000000003,-8.110522000000000
22,"Kilmashogue Megalithic Tomb, County Dublin","Today the wedge tomb at Kilmashogue is located in forestry, but originally it would have been situated on an open mountain side overlooking the lowlands now occupied by Dublin city.  The site was excavated in 1953. The kerbstones that formerly retained the stone cairn had been removed, but the sockets of these stones were found during the excavations.  The burial gallery is aligned NE-SW and is no longer roofed.  The gap between two stones forming the entrance at the SW end of the gallery is very narrow and was clearly intended to restrict entrance into the burial gallery. The burial gallery was divided by a stone into two chambers, i.e., a front chamber and the main chamber.  The long walls of the chamber were formed by three parallel rows of stones set on end. This type of tomb is believed to have been constructed at the beginning of the Bronze Age in Ireland, around 2500 BC. Several hundred years after its construction, people returned to the wedge tomb at Kilmashogue and inserted three stone cists that were found to contain Bronze Age pottery.  Please note that many of these monuments may be on private land and may not be publicly accessible. When setting out to visit monuments please ensure that you wear appropriate footwear and clothing.  Access to monuments without Visitor Services may be across uneven ground which may not be suitable for everyone and, in particular, wheelchair users.",https://heritagedata.maps.arcgis.com/apps/webappviewer/index.html?id=0c9eb9575b544081b0d296436d8f60f8&query=18a4b61b268-layer-9%2CSMRS%2CDU025-007001-,https://www.dublinmountains.ie/archaeology/archaeology/kilmashogue/,DU02084,DU025-007001-,DUBLIN,KILMASHOGUE,Megalithic tomb - wedge tomb,715019,724404,53.257510000000003,-6.276152000000000
