Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited
PARKNASHAW,19,22,5,,17,23,6,,18,23,6,,22,21,9,1,13,24,7,2,7,8,4,
POLLAPHUCA,17,16,4,,19,12,4,,16,12,4,,17,15,6,,13,22,6,,20,21,5,
RAHEENAVINE,25,24,7,,35,28,11,,25,24,7,,16,20,7,2,10,10,3,1,9,15,3,
ROCKSTOWN LOWER,45,41,12,1,33,30,9,1,38,39,13,,23,32,10,,13,11,4,5,13,10,5,1
ROCKSTOWN UPPER,33,38,11,,20,23,8,2,28,27,9,,12,18,8,,14,12,4,1,14,12,5,
SLIEVENAVODE,6,8,2,,3,4,1,,3,4,1,,1,4,1,,5,3,1,,2,2,1,
SROUGHMORE,135,126,41,4,77,71,25,1,90,88,29,,73,60,26,1,47,48,20,,21,28,10,1
TEMPLELUSK,88,80,25,1,82,83,27,,66,67,23,1,67,47,22,1,40,45,16,,29,36,13,
TIGRONEY EAST,249,222,67,1,68,56,18,,70,55,17,,57,60,24,1,32,35,13,1,20,26,11,
TIGRONEY WEST,76,79,23,,146,126,41,,137,113,37,,90,91,20,,67,72,25,2,62,63,23,
TINNAHINCH,29,21,6,3,12,16,5,2,26,17,8,,29,18,8,,8,9,3,1,14,15,5,
TOTAL,2882,2751,817,33,2303,2255,708,41,2130,2032,687,15,1650,1645,630,27,1141,1190,461,31,877,939,400,42
ASHTOWN (Newcastle By),4,2,1,,,,,,,,,,,,,,,,,,,,,
BALLYGONNELL,13,15,3,1,15,7,3,,10,10,3,,7,8,3,,8,13,3,,7,9,3,
BALLYHARA (ED Wicklow Rural),16,10,3,,12,9,3,,10,6,3,,10,8,3,,5,4,2,,6,3,2,
BALLYNERRIN LOWER,72,75,24,3,11,22,7,,16,24,9,1,7,12,4,1,19,21,10,,22,23,10,
BALLYNERRIN UPPER,36,43,11,1,34,35,11,1,11,13,4,1,6,10,3,,5,8,3,1,5,9,3,1
BLACKDITCH,5,3,1,,6,3,1,,4,2,2,,7,6,2,,1,2,1,,1,,1,
HAWKSTOWN LOWER,7,5,2,,11,6,2,,7,4,2,,13,5,2,1,10,6,2,,7,6,2,
HAWKSTOWN UPPER,15,5,3,,8,9,3,,12,3,2,,5,7,2,,6,7,2,,7,4,2,
KNOCKAQUIRK,5,5,1,,11,6,1,,9,9,1,,6,5,1,,4,5,1,,3,4,1,
NEWTOWN (ED Wicklow Rural),10,7,2,,12,6,2,,6,5,2,,3,6,3,,5,2,2,,1,,1,1
RAHEENMORE,5,7,1,,,2,1,,1,2,1,,3,5,1,,1,2,1,,1,1,1,
TOBERAVILLER,7,4,2,,3,4,1,,4,5,1,,4,4,1,,1,,1,,5,3,1,
,195,181,54,5,123,109,35,1,90,83,30,2,71,75,25,2,65,70,28,1,65,62,27,2
WICKLOW T,7,16,3,,5,11,3,,71,93,32,1,139,155,53,5,106,128,44,4,113,117,49,1
TOTAL,202,197,57,5,128,120,38,1,161,176,62,3,210,230,78,7,171,198,72,5,178,179,76,3
BALLARD LOWER,31,42,13,1,33,31,11,1,21,25,9,1,17,22,9,1,15,18,8,,21,10,7,
BALLARD UPPER,31,25,9,,33,20,12,,31,37,11,,28,22,10,1,28,25,10,,31,26,10,
BALLINACLEA,28,18,8,,27,14,6,,22,19,6,,17,11,4,,16,14,4,,14,15,5,
BALLINACOR EAST,28,30,9,,30,28,11,1,16,11,6,,14,8,5,,15,11,6,,11,12,5,
BALLINACOR WEST,68,89,28,,36,47,20,,25,38,15,2,31,38,16,,24,26,13,,21,36,13,
BALLINAMEESDA LOWER,91,82,25,1,11,5,4,,30,25,11,1,11,17,9,,32,29,19,4,34,30,17,1
BALLINAMEESDA UPPER,59,83,24,2,28,32,13,1,6,3,2,,8,7,3,,2,6,2,,11,6,2,
BALLINCLARE,17,8,3,,10,8,3,,8,6,3,,8,5,3,,10,11,3,,12,8,3,
BALLYCAPPLE,41,58,15,1,33,33,11,,30,21,7,1,18,20,7,,17,18,6,,19,15,8,
BALLYCAPPLE HILL,23,19,6,,13,14,5,,10,6,3,,7,4,4,,5,4,3,,6,3,1,
BALLYCLOGH NORTH,21,16,5,,3,9,1,,20,29,6,,20,21,9,,18,15,7,,6,5,2,
BALLYCLOGH SOUTH,15,12,3,,19,18,6,,1,3,2,,5,10,2,,3,1,1,,4,2,2,
BALLYDOWLING,4,6,1,,4,4,1,,6,8,2,,5,3,2,,6,6,2,,6,4,3,
BALLYFLANIGAN,24,33,10,1,29,35,8,1,17,22,7,1,21,13,8,1,11,11,5,,8,11,4,
BALLYGANNON BEG,24,23,7,,23,14,6,,24,15,7,,17,21,5,,11,6,2,3,12,6,2,
BALLYGANNON MORE,43,44,13,,26,20,6,,19,17,4,,17,14,4,,15,12,4,,14,9,3,
BALLYHARA (ED Dunganstown South),4,4,1,,4,4,1,,3,3,1,,4,1,2,,7,5,2,,3,4,3,1
BALLYHERRIG,6,8,2,,1,,1,,2,3,1,,3,3,1,,5,10,4,,7,10,3,
BALLYKEPPOGE,24,24,6,,14,13,5,2,14,15,5,1,11,11,3,1,1,1,1,,4,4,1,
BALLYMONEY (ED Dunganstown East),28,24,8,,31,31,7,,17,11,5,,13,7,4,2,12,13,5,,9,10,3,
BALLYMURRIN LOWER,24,32,6,,24,12,4,,39,29,13,1,15,17,5,,25,24,11,2,17,19,11,2
BALLYMURRIN UPPER,36,37,12,,32,33,11,1,9,11,3,,13,12,3,,3,6,2,,7,5,2,
BALLYNACARRIG,52,61,21,1,46,54,17,4,52,57,20,2,51,48,17,1,42,42,14,1,32,37,17,1
BALLYNAGRAN (ED Dunganstown East),11,12,3,,4,3,2,,9,9,2,,8,8,2,,5,2,1,1,2,,1,
BALLYNAPARK,24,24,5,,32,20,7,1,25,25,7,,20,18,7,,23,15,6,,12,9,4,2
BALLYSALLAGH EAST,12,10,4,,7,4,3,,15,12,4,,12,11,2,,10,8,2,,8,6,1,
BALLYSALLAGH WEST,11,3,3,,11,6,2,,3,3,1,,4,,1,,5,4,2,,8,5,2,
BALLYVALTRON,46,40,11,,36,30,12,,30,27,10,,21,18,8,1,20,16,8,,18,13,7,1
BELLPARK,14,20,4,,10,5,2,,6,6,2,,6,4,2,,4,3,1,,1,1,1,
BOLAGH LOWER,18,15,4,,8,10,4,,10,6,3,,7,3,2,,5,2,2,,4,4,2,
BOLAGH UPPER,19,14,4,,14,9,4,,10,15,4,,10,12,4,,3,2,2,,1,2,1,
BONABROCKA,17,18,4,,8,8,2,1,14,12,3,,8,6,2,,11,5,2,,9,4,1,1
BONAGREW,10,7,1,,14,12,3,1,7,4,2,,9,7,3,1,7,13,3,1,8,9,3,
BONAGREW LITTLE,5,7,1,,,,,,,,,,,,,,,,,,3,2,1,
BREAGURA,,,,,,,,,,,,,,,,,,,,,,,,
BRITTAS,74,67,23,,63,60,19,1,62,57,18,1,35,38,14,,33,34,13,1,24,22,10,2
CARRIGMORE,20,9,3,,18,10,4,,17,14,4,,15,15,5,,14,14,3,,11,6,3,
CASTLETIMON,57,72,20,,47,53,14,,29,30,9,,26,23,9,,20,16,6,,16,15,5,1
CLOGHOGE,6,2,1,,2,1,1,,5,4,1,,,,,1,1,1,1,,,1,1,
COOLACORK,13,10,3,,14,9,3,,17,15,4,,21,18,4,,20,20,5,,16,15,4,1
CORNAGOWER EAST,39,48,10,,28,20,7,,15,11,5,,13,10,4,,5,5,2,,5,4,2,
CORNAGOWER WEST,24,25,8,1,22,27,7,,16,22,9,,13,20,9,,20,19,8,,12,6,4,
CRANAGH,18,30,7,,14,20,5,1,18,22,5,,10,11,5,,6,8,3,,6,8,3,
CRONAKIP,14,14,5,,13,17,3,,17,11,4,,13,8,5,,6,7,4,,3,4,3,1
CULLEN LOWER,16,15,4,,21,16,4,,20,17,4,,25,19,4,,19,17,4,,13,11,4,
CULLEN UPPER,52,42,17,,28,24,11,,24,24,7,,20,19,6,,18,18,6,,13,9,4,1
CUNNIAMSTOWN BIG,42,27,10,,25,31,9,,32,28,10,,23,19,7,,25,20,8,,15,10,6,
CUNNIAMSTOWN LITTLE,18,15,4,,10,6,2,,7,5,2,,7,3,2,,8,6,2,,4,5,1,1
DUNGANSTOWN EAST,28,30,7,,31,28,8,2,29,31,8,,23,20,7,1,15,24,6,2,18,16,6,1
DUNGANSTOWN WEST,21,10,3,,15,18,5,,21,20,6,1,9,9,4,,9,16,5,1,10,9,4,1
ENNISBOYNE,37,53,165,,,,,,,,,,,,,,,,,,,,,
FURZEDITCH EAST,13,7,2,,19,10,2,,14,8,2,,13,9,2,,5,4,2,,4,6,2,
FURZEDITCH WEST,11,12,3,,16,20,6,,2,6,3,,4,6,3,,9,9,3,,3,2,2,
GORMANSTOWN,10,7,2,,9,7,2,,10,6,2,,11,8,2,,4,5,2,,6,8,2,
KILBOY,27,22,8,,14,11,5,,7,2,3,,8,9,3,,9,7,2,,7,5,2,
KILBRIDE (ED Dunganstown East),9,18,3,,6,7,1,1,4,11,2,,2,8,2,,4,4,2,,6,5,2,
KILCANDRA (ED Dunganstown West),61,56,23,,39,35,13,,29,30,10,1,13,15,7,,23,19,8,,7,9,4,
KILMACURRA EAST,11,8,2,,6,4,1,1,7,5,1,,5,4,1,,6,2,1,,2,7,1,
KILMACURRA WEST,5,3,1,,7,4,1,,10,12,2,,5,9,1,,5,6,1,,,,,
KILMANOGE,9,9,2,,7,10,2,,3,3,1,,5,5,1,,5,5,1,,3,7,1,2
MAGHERABEG,4,2,1,,7,3,1,,9,6,2,,7,3,2,,15,17,5,,19,12,5,
MAGHERAMORE,21,20,7,,19,30,7,1,39,33,10,,30,31,9,2,20,21,8,,20,21,8,
NEWBAWN,38,35,8,,30,28,8,1,34,30,11,,27,29,11,,23,20,9,,19,20,8,
RAHERD,1,10,1,,,,,1,,,,,,,,,,,,,,,,
ROSCATH,41,31,7,,30,32,9,,22,15,5,,13,7,4,,14,10,4,,11,8,4,
THREEMILEWATER,10,7,3,,31,43,15,1,25,31,9,,21,18,8,,16,17,8,,15,17,8,
TOGHER,9,4,1,,5,3,1,,2,2,1,,3,6,1,,2,4,1,,4,5,1,
TONLEGEE,21,14,5,,8,8,3,1,5,10,3,1,12,14,5,,13,12,5,,6,7,3,1
TULLYLUSK,4,4,1,,16,12,5,,10,9,3,,12,14,8,,8,11,3,,10,7,2,1
WESTASTON DEMESNE,6,9,1,,8,7,1,,4,6,1,,4,8,2,1,3,6,3,,4,5,3,
WESTASTON HILL,22,13,5,,13,13,4,,,,,,2,3,1,,3,3,1,,1,2,1,
,1721,1713,506,8,1295,1213,400,25,1118,1067,354,14,909,866,324,14,823,789,308,16,696,636,270,25
BALLINAMEESDA T,,,,,73,81,31,1,48,47,21,,33,45,24,1,,,,,,,,
TOTAL,1721,1713,506,8,1368,1294,431,26,1166,1114,375,14,942,911,348,15,823,789,308,16,696,636,270,25
ARDNABOY,77,75,28,,48,51,23,,38,39,16,1,39,34,13,,40,38,10,1,31,29,10,1
BALLINASKEA,21,20,8,,21,15,5,,22,19,8,1,20,17,6,1,20,14,4,1,9,5,3,
BALLYMOYLE,63,74,17,,39,36,11,,38,38,11,1,36,32,9,,20,22,6,,17,19,6,
BALLYTUNNY,15,9,3,,10,8,3,,11,9,3,,11,11,3,,9,4,2,,10,7,3,
CLONPADDEN,4,3,1,1,5,9,2,,3,3,1,,2,12,3,,3,7,2,,5,6,2,
COOLMORE,32,26,8,,14,13,6,1,14,15,5,,19,11,3,1,11,11,3,,3,9,2,1
ENNEREILLY,12,10,2,,16,10,2,,12,10,2,,7,4,2,,4,5,2,,13,8,3,
KILPATRICK,47,45,14,,43,34,10,1,33,37,10,,38,38,12,2,33,25,9,1,18,25,9,
RAHERD,4,3,1,,5,2,1,,5,2,1,,3,1,1,,3,5,1,,2,3,1,
SALLYMOUNT,23,17,5,,11,7,3,2,14,9,5,,12,10,4,,9,7,4,,9,9,5,
SCRATENAGH,12,8,2,,17,11,2,,10,9,2,,9,6,2,,8,6,2,,5,6,2,
TOTAL,310,290,89,1,229,196,68,4,200,190,64,3,196,176,58,4,160,144,45,3,122,126,46,2
BALLINACLOGH,47,45,13,,35,42,12,,40,37,11,1,20,19,8,,16,24,6,2,13,16,5,2
BALLINTESKIN,70,64,16,,40,36,12,,29,25,8,,25,25,8,,22,19,7,,20,18,7,
BALLYNAGRAN (ED Glenealy),31,28,6,,16,19,6,,17,14,6,,23,23,6,,8,7,3,,1,1,1,2
COOLBEG,49,40,11,,36,32,10,,30,23,9,,11,9,8,,21,19,6,,21,18,6,
KILCANDRA (ED Glenealy),34,34,9,,25,24,10,,30,26,8,1,19,22,8,,16,17,7,,12,12,7,1
KILNAMANAGH BEG,47,41,15,,21,16,5,,11,13,3,1,9,14,4,1,15,14,4,,13,16,4,
KILNAMANAGH MORE,34,31,12,,43,31,11,,39,27,10,,35,23,10,,27,23,9,,18,22,8,1
TOTAL,312,283,82,,216,200,66,,196,165,55,3,142,135,52,1,125,123,42,2,98,103,38,6
COOLASTINGAN,,,,,3,6,2,,,,,,,,,,,,,,,,,
JOHNSTOWN HILL,4,2,1,,4,3,1,,29,26,11,,5,5,2,,33,28,11,,38,29,15,1
JOHNSTOWN LOWER,24,27,7,,20,22,6,,13,12,4,,12,21,5,,23,13,6,,14,12,6,
JOHNSTOWN UPPER,87,97,32,2,72,83,26,1,19,28,9,2,43,41,10,,12,18,9,2,10,10,3,
SLIEVEDUFF,16,20,4,1,13,23,4,,19,17,4,,12,13,4,,13,11,4,,13,19,5,
TOTAL,131,146,44,3,112,137,39,1,80,83,28,2,72,80,27,,81,70,30,2,75,70,29,1
BALLINABRANNAGH,20,17,5,,10,11,4,1,8,7,3,,8,8,2,,5,4,1,1,6,6,2,
BALLINACOR,29,26,10,1,34,32,11,,28,25,10,,26,21,12,,43,29,18,3,35,48,18,2
BALLINAHEESE,9,13,3,,10,5,2,1,4,7,2,1,8,15,3,,6,8,2,1,4,5,2,
BALLINAKILL,19,27,8,,19,18,6,1,28,24,8,,21,17,6,,16,23,6,1,10,13,6,
BALLINCLEA,34,34,9,,31,30,8,1,31,28,9,,13,13,6,1,12,10,5,,9,13,5,
BALLYMONEY (ED Kilbride),15,18,5,1,15,22,5,,10,11,4,,6,8,3,,14,10,4,1,17,12,6,1
BALLYRICHARD,22,18,5,,14,10,5,,11,12,4,1,13,11,4,,10,12,4,1,11,14,4,
BARRANISKY EAST,27,27,7,1,24,28,8,,9,13,4,,12,11,4,,13,12,4,,12,11,4,
BARRANISKY WEST,41,48,13,,18,22,9,,36,36,11,2,38,42,12,,28,30,11,2,23,25,11,1
CARRYCOLE,33,33,9,,42,37,9,,22,20,7,4,14,12,5,1,11,19,5,1,16,22,8,
COOLBOY,59,61,16,1,41,38,13,,38,28,14,3,22,22,9,2,18,27,8,3,17,16,8,
FERRYBANK,118,126,35,3,46,44,17,,59,75,23,1,107,123,39,4,,,,,,,,
GLENTEIGE,35,29,8,,16,7,3,,13,7,2,,11,8,2,,5,5,2,,6,5,2,
JOHNSTOWN NORTH,20,23,6,,8,8,2,1,7,7,2,,8,7,2,,8,3,1,,3,5,1,
JOHNSTOWN SOUTH,9,11,2,,19,16,8,,13,7,4,1,8,11,5,1,12,13,5,,11,15,4,1
KEELOGE,32,25,5,,21,16,5,,11,9,4,,8,15,4,,5,16,4,,3,2,1,
KILBRIDE (Arklow By),35,39,11,1,32,29,8,,24,19,6,1,23,31,7,,22,23,8,,18,23,9,
KILLEAGH,37,28,10,,29,19,9,,20,17,8,,19,18,7,,18,10,7,,9,8,5,
KILLINISKYDUFF,16,12,4,1,21,15,5,,13,13,4,2,15,14,5,,9,14,4,,8,12,5,
MARSH,1,2,1,,3,2,2,,7,5,3,,1,3,1,,,,,,,,,
RAHEEN (Arklow By),21,26,6,,17,14,5,,17,11,5,1,11,8,3,,7,7,8,,9,5,4,1
SEABANK,19,18,4,,9,6,2,,8,8,3,,6,11,4,,6,6,3,,5,6,3,
SHEEPWALK,10,13,3,,11,12,2,,5,6,1,,1,5,1,,,,,,4,2,1,
SHELTON,11,8,3,1,23,32,11,1,21,10,7,,22,22,14,,19,18,10,,18,17,8,1
SHELTON ABBEY,4,8,2,,2,7,2,,5,6,3,,8,18,2,,18,16,8,,29,29,9,
SNUGBOROUGH,3,11,3,,14,10,5,,19,17,5,,10,8,3,,12,9,3,,12,8,3,
TEMPLEMICHAEL,9,7,2,1,10,10,3,,8,6,3,,6,7,3,,8,7,3,,9,12,3,
TEMPLERAINY,14,21,6,1,20,23,7,1,14,11,6,1,21,14,6,,11,13,3,3,14,15,3,
