Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited,Townland_Gaelic,Townland_Description,Placename_Theme
KYLE,54.0,40.0,15.0,,29.0,34.0,12.0,,41.0,48.0,11.0,,42.0,40.0,10.0,,33.0,27.0,10.0,,24.0,23.0,9.0,,An Chill,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
LUGDUFF,52.0,51.0,17.0,,61.0,72.0,19.0,,55.0,55.0,17.0,,63.0,69.0,22.0,,58.0,55.0,23.0,3.0,36.0,41.0,15.0,1.0,An Log Dubh,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
MANGANS,41.0,45.0,14.0,,34.0,33.0,13.0,,33.0,26.0,11.0,,24.0,22.0,10.0,,28.0,20.0,9.0,,24.0,23.0,9.0,,An Mongán,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
MULLANNASKEAGH,17.0,19.0,7.0,,6.0,4.0,1.0,,4.0,5.0,1.0,,11.0,11.0,3.0,,9.0,5.0,3.0,,3.0,2.0,2.0,1.0,Mullán na Sceiche,"The Irish form points to mullán = small summit or rounded hill. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
MULLANS NORTH,51.0,56.0,15.0,,18.0,13.0,4.0,,18.0,15.0,6.0,,14.0,17.0,5.0,,18.0,11.0,5.0,,2.0,1.0,1.0,,An Mullán Thuaidh,"The Irish form points to mullán = small summit or rounded hill, thuaidh = north. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
MULLANS SOUTH,50.0,40.0,14.0,,37.0,38.0,10.0,,23.0,19.0,6.0,,26.0,19.0,6.0,,19.0,17.0,5.0,,33.0,22.0,8.0,,An Mullán Theas,"The Irish form points to mullán = small summit or rounded hill, theas = south. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
MUSKEAGH,63.0,46.0,17.0,,33.0,38.0,14.0,1.0,25.0,32.0,11.0,,30.0,30.0,11.0,,29.0,23.0,10.0,,22.0,19.0,9.0,,Maigh Sciach,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
RAHEENTEIGE,27.0,22.0,8.0,,19.0,21.0,5.0,1.0,16.0,22.0,4.0,,13.0,20.0,4.0,,13.0,15.0,4.0,,13.0,9.0,4.0,,Ráithín Thaidhg,"The Irish form points to ráithín = small ringfort. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
ROSBANE,90.0,89.0,28.0,,45.0,57.0,19.0,,30.0,44.0,14.0,,40.0,57.0,15.0,,49.0,49.0,14.0,,41.0,35.0,14.0,,An Ros Bán,"The Irish form points to ros = wooded point or promontory, bán = white or pale. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
TINAHELY,13.0,8.0,3.0,,9.0,4.0,2.0,,17.0,9.0,5.0,,12.0,19.0,4.0,,6.0,11.0,2.0,,3.0,2.0,2.0,,Tigh na hÉille,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
WHITEFIELD,44.0,43.0,17.0,1.0,19.0,26.0,10.0,2.0,16.0,10.0,7.0,1.0,31.0,21.0,8.0,,25.0,19.0,8.0,1.0,22.0,12.0,7.0,2.0,An Gort Bán,The Irish form points to bán = white or pale. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
WHITEROCK,47.0,47.0,14.0,,33.0,30.0,10.0,2.0,37.0,29.0,10.0,,29.0,30.0,9.0,,33.0,27.0,9.0,,30.0,24.0,11.0,,Carraig Caltair,"The Irish form points to carraig = rock. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
BALLAGH,51.0,58.0,18.0,,30.0,40.0,10.0,,28.0,21.0,9.0,,19.0,13.0,6.0,1.0,20.0,19.0,7.0,1.0,23.0,18.0,8.0,,An Bealach,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
COOLALUG,65.0,64.0,19.0,,30.0,29.0,11.0,1.0,31.0,24.0,9.0,1.0,26.0,29.0,10.0,,30.0,38.0,12.0,,18.0,20.0,10.0,1.0,Cúil an Loig,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
COOLBAWN or COOLBALLINTAGGART,109.0,87.0,27.0,,90.0,72.0,24.0,,65.0,62.0,20.0,,45.0,44.0,18.0,,44.0,45.0,17.0,,42.0,41.0,15.0,1.0,An Chúil Bhán,The Irish form points to bhán = white or pale. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
CURRAGHLAWN,61.0,52.0,15.0,2.0,31.0,34.0,13.0,7.0,23.0,25.0,11.0,1.0,20.0,29.0,11.0,1.0,10.0,20.0,8.0,2.0,14.0,11.0,7.0,2.0,An Currach Leathan,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
KILLAVENY,190.0,198.0,67.0,1.0,126.0,123.0,49.0,1.0,113.0,106.0,45.0,,76.0,65.0,28.0,,71.0,51.0,22.0,1.0,46.0,39.0,17.0,1.0,Coill Bhánaigh,"The Irish form points to coill = wood. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
KILPIPE,66.0,78.0,26.0,,52.0,58.0,18.0,,50.0,61.0,19.0,,40.0,47.0,16.0,,31.0,33.0,13.0,,43.0,38.0,12.0,,Cill Phíp,"The Irish form points to cill = church or early ecclesiastical site. The name likely preserves a church, saint, cross, or holy well association, which can point to an older religious landmark in the locality.",Ecclesiastical / devotional
RODDENAGH,54.0,66.0,16.0,,25.0,18.0,7.0,,12.0,14.0,6.0,,23.0,17.0,9.0,,25.0,21.0,9.0,,24.0,21.0,10.0,,Roideanach,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
ROSNASTRAW,113.0,126.0,40.0,,73.0,90.0,28.0,,67.0,75.0,26.0,,55.0,59.0,18.0,,43.0,42.0,18.0,,32.0,32.0,16.0,,Ros na Sraithe,"The Irish form points to ros = wooded point or promontory. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
TOBERLOWNAGH,63.0,65.0,22.0,1.0,49.0,43.0,22.0,,47.0,51.0,20.0,1.0,34.0,33.0,14.0,,29.0,37.0,12.0,,27.0,28.0,11.0,1.0,Tobar Leamhnachta,"The Irish form points to tobar = well, often a holy well. The name likely preserves a church, saint, cross, or holy well association, which can point to an older religious landmark in the locality.",Ecclesiastical / devotional
TOBERPATRICK,124.0,120.0,40.0,1.0,85.0,60.0,29.0,1.0,64.0,53.0,25.0,2.0,40.0,31.0,13.0,1.0,39.0,39.0,15.0,,40.0,35.0,12.0,,Tobar Phádraig,"The Irish form points to tobar = well, often a holy well, phádraig = personal or saintly association with Patrick. The name likely preserves a church, saint, cross, or holy well association, which can point to an older religious landmark in the locality.",Ecclesiastical / devotional
TOMNASKELA,43.0,34.0,13.0,1.0,44.0,39.0,13.0,,18.0,20.0,8.0,,25.0,22.0,10.0,,28.0,25.0,11.0,,25.0,20.0,11.0,,Tom na Scéalaithe,"The Irish form points to tom = mound or bushy hillock. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
BALLINGUILE,144.0,144.0,52.0,,17.0,20.0,7.0,,65.0,69.0,25.0,,59.0,54.0,24.0,,55.0,48.0,22.0,,43.0,31.0,20.0,1.0,Baile an Ghaill,"The Irish form points to baile = settlement or town. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
BALLINGUILEHILL,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,Cnoc Bhaile an Ghaill,"The Irish form points to cnoc = hill, bhaile = settlement or town. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
CARRIGATHEME,,,,,,,,,,,,,,,,,,,,,,,,,Carraig an Taoim,"The Irish form points to carraig = rock. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
KNOCKNAGREE,15.0,20.0,3.0,,10.0,8.0,2.0,,7.0,6.0,2.0,,8.0,7.0,2.0,,8.0,7.0,2.0,,5.0,3.0,2.0,,Cnoc na Graí,"The Irish form points to cnoc = hill. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
LYBAGH,,,,,,,,,,,,,,,,,,,,,,,,,Leadhbach,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
RATHCOYLE LOWER,8.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,Ráth Choill Íochtararach,"The Irish form points to ráth = ringfort or enclosed settlement, choill = wood. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
RATHCOYLE UPPER,,,,,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,9.0,5.0,1.0,,4.0,3.0,1.0,,5.0,3.0,1.0,1.0,Ráth Choill Uachtararach,"The Irish form points to ráth = ringfort or enclosed settlement, choill = wood. That wording often hints at an early enclosed site such as a ringfort or remembered fortification, suggesting long continuity of occupation.",Archaeological / enclosure
SLIEVEBOY LOWER,28.0,14.0,7.0,,7.0,6.0,3.0,,2.0,2.0,1.0,1.0,5.0,4.0,2.0,,4.0,3.0,1.0,,3.0,2.0,1.0,,An Sliabh Buí Íochtarach,"The Irish form points to sliabh = mountain or upland, buí = yellow. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
SLIEVEBOY UPPER,,,,,,,,,,,,,,,,,,,,,,,,,An Sliabh Buí Uachtarach,"The Irish form points to sliabh = mountain or upland, buí = yellow. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
SLIEVEMAAN,,,,,,,,,,,,,,,,,,,,,,,,,Sliabh Meáin,"The Irish form points to sliabh = mountain or upland. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
SLIEVENAMOUGH,48.0,46.0,15.0,1.0,29.0,24.0,9.0,,20.0,18.0,6.0,,19.0,18.0,7.0,,15.0,14.0,7.0,,10.0,12.0,6.0,,Sliabh na mBoth,"The Irish form points to sliabh = mountain or upland. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
SLIEVENAMOUGH PLAIN,21.0,14.0,5.0,,4.0,5.0,1.0,,12.0,11.0,4.0,,11.0,3.0,3.0,,6.0,7.0,3.0,,7.0,8.0,2.0,1.0,Machaire Shliabh na mBoth,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
TOORBOY,34.0,28.0,10.0,,20.0,29.0,6.0,,13.0,15.0,5.0,,23.0,16.0,6.0,,23.0,21.0,6.0,,24.0,21.0,7.0,,An Tuar Buí,"The Irish form points to tuar = pasture or bleaching green, buí = yellow. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
CARRIGROE,51.0,48.0,14.0,1.0,30.0,31.0,8.0,1.0,19.0,19.0,7.0,,17.0,12.0,6.0,,,,,,14.0,11.0,5.0,1.0,Carraig an Chróigh,"The Irish form points to carraig = rock. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
CORNDOG,36.0,37.0,8.0,1.0,20.0,19.0,5.0,,7.0,8.0,3.0,,9.0,11.0,8.0,,,,,,2.0,2.0,1.0,1.0,Corr an Daig,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
MOYNE,51.0,43.0,18.0,1.0,51.0,52.0,18.0,3.0,44.0,33.0,17.0,2.0,37.0,38.0,15.0,,,,,,25.0,22.0,13.0,1.0,An Mhaighean,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
SLIEVEMWEEL,108.0,103.0,36.0,,56.0,43.0,20.0,1.0,35.0,29.0,16.0,,23.0,23.0,11.0,,,,,,20.0,20.0,9.0,,An Sliabh Maol,"The Irish form points to sliabh = mountain or upland, maol = rounded or bare summit. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
SLIEVEROE,67.0,74.0,21.0,,48.0,63.0,16.0,,40.0,42.0,14.0,,26.0,32.0,12.0,,,,,,19.0,24.0,12.0,,An Sliabh Rua,"The Irish form points to sliabh = mountain or upland, rua = red. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
ASKAKEAGH,104.0,99.0,31.0,,50.0,44.0,17.0,4.0,27.0,22.0,9.0,1.0,28.0,23.0,9.0,,,,,,20.0,27.0,7.0,1.0,An Easca Chaoch,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
DRUMMIN,39.0,40.0,12.0,2.0,39.0,30.0,12.0,,42.0,29.0,12.0,,39.0,29.0,10.0,,,,,,30.0,30.0,9.0,1.0,An Dromainn,"The Irish form points to dromainn = ridge or back. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
KILBALLYOWEN,249.0,241.0,75.0,,146.0,131.0,45.0,4.0,105.0,86.0,35.0,2.0,88.0,89.0,31.0,,,,,,59.0,65.0,25.0,2.0,Coill Bhaile Eoghain,"The Irish form points to coill = wood, bhaile = settlement or town. That suggests the townland was remembered as a settlement, estate, or landholding linked to habitation or to a family name.",Settlement / family association
PREBAN,50.0,58.0,13.0,,40.0,42.0,14.0,,36.0,32.0,12.0,1.0,32.0,30.0,13.0,1.0,,,,,36.0,33.0,13.0,,An Preabán,The Irish form preserves an older Gaelic description of the place. It is best read as a traditional local place-name preserving how the landscape or community once identified the area.,Landscape or local identity
TOMCOYLE,37.0,37.0,10.0,,13.0,14.0,4.0,1.0,6.0,16.0,3.0,,9.0,18.0,3.0,,,,,,3.0,8.0,1.0,,Tom Coill,"The Irish form points to tom = mound or bushy hillock, coill = wood. The emphasis is on the shape of the ground itself, so the name probably originated from a prominent hill, pass, ridge, rock, or upland feature.",Topography / landscape
PARKMORE,68.0,57.0,19.0,,49.0,40.0,13.0,1.0,44.0,40.0,13.0,,42.0,38.0,11.0,,37.0,37.0,11.0,,36.0,24.0,10.0,,An Pháirc Mhór,"The Irish form points to pháirc = field, mhór = big/great. This kind of name usually reflects working land—pasture, enclosed grazing, fields, or another farming use visible in the rural landscape.",Agricultural land use
AGHOWLE LOWER,56.0,40.0,14.0,,33.0,33.0,11.0,,28.0,19.0,8.0,,15.0,14.0,6.0,,20.0,12.0,6.0,,17.0,17.0,6.0,,Achadh Abhall Íochtarach,"The Irish form points to abhall = orchard or apple tree, íochtarach = lower. This suggests the place was identified by vegetation, woodland, bog, scrub, or another natural cover that stood out locally.",Vegetation / land cover
